190-189-127,yellow
194-176-120,brown
198-166-100,brown
229-190-001,yellow
205-164-052,yellow
169-131-007,yellow
228-160-016,orange
220-156-000,orange
138-102-066,brown
199-180-070,yellow
234-230-202,white
225-204-079,yellow
230-214-144,yellow
237-255-033,yellow
245-208-051,yellow
248-243-053,yellow
158-151-100,brown
153-153-080,brown
243-218-011,yellow
250-210-001,yellow
174-160-075,yellow
255-255-000,yellow
157-145-001,orange
244-169-000,orange
214-174-001,yellow
243-165-005,orange
239-169-074,orange
106-093-077,brown
112-083-053,brown
243-159-024,orange
237-118-014,orange
201-060-032,red
255-117-020,orange
244-070-017,red
255-035-001,red
255-164-032,yellow
247-094-037,orange
245-064-033,red
216-075-032,orange
236-124-038,orange
235-106-014,orange
195-088-049,orange
175-043-030,red
165-032-025,red
162-035-029,red
155-017-030,red
117-021-030,red
094-033-041,red
065-034-039,red
100-036-036,red
120-031-025,red
193-135-107,brown
161-035-018,red
211-110-112,pink
234-137-154,pink
179-040-033,red
230-050-068,red
213-048-050,red
204-006-005,red
217-080-048,orange
248-000-000,red
254-000-000,red
197-029-052,red
203-050-052,red
179-036-040,red
114-020-034,red
180-076-067,red
222-076-138,pink
146-043-062,violet
222-076-138,pink
110-028-052,violet
108-070-117,purple
160-052-114,purple
074-025-044,violet
144-070-132,purple
164-125-144,purple
215-045-109,pink
134-115-161,purple
108-104-129,blue
042-046-075,blue
031-052-056,blue
032-033-079,blue
029-030-051,blue
032-033-079,dark blue
030-045-110,blue
062-095-138,blue
038-037-045,dark blue
002-086-105,blue
014-041-075,blue
035-026-036,purple
059-131-189,blue
037-041-074,blue
096-111-140,blue
034-113-179,blue
006-057-113,blue
063-136-143,blue
027-085-131,blue
029-051-074,blue
037-109-123,blue
037-040-080,blue
073-103-141,blue
093-155-155,blue
042-100-120,blue
016-044-084,blue
049-102-080,green
040-114-051,green
045-087-044,green
066-070-050,green
031-058-061,blue
047-069-056,green
062-059-050,olive
052-059-041,green
057-053-042,brown
049-055-043,green
053-104-045,green
088-114-070,green
052-062-064,blue
071-064-046,brown
059-060-054,olive
030-089-069,green
076-145-065,green
087-166-057,green
189-236-182,green
046-058-035,green
137-172-118,green
037-034-027,brown
048-132-070,green
061-100-045,green
001-093-082,blue
132-195-190,blue
044-085-069,green
032-096-061,green
049-127-067,green
073-126-118,blue
127-181-181,blue
028-084-045,green
022-053-055,blue
000-143-057,green
000-187-045,green
120-133-139,light blue
138-149-151,light blue
126-123-082,brown
108-112-089,brown
100-107-099,grey
109-101-082,brown
106-095-049,brown
076-081-074,grey
078-087-084,grey
070-069-049,brown
051-047-044,black
104-108-094,dark green
139-140-122,grey
184-183-153,brown
125-132-113,grey
143-139-102,brown
215-215-215,white
127-118-121,grey
125-127-120,grey
195-195-195,white
108-105-096,brown
157-161-170,grey
141-148-141,grey
078-084-082,grey
202-196-176,beige
144-144-144,grey
130-137-143,grey
208-208-208,white
137-129-118,brown
130-108-052,brown
149-095-032,brown
108-059-042,brown
115-066-034,brown
142-064-042,orange
089-053-031,brown
111-079-040,brown
091-058-041,brown
089-035-033,dark red
056-044-030,brown
099-058-052,brown
076-047-039,brown
069-050-046,brown
064-058-058,brown
033-033-033,black
166-094-046,brown
121-085-061,brown
117-092-072,brown
078-059-049,brown
118-060-040,brown
250-244-227,white
231-235-218,white
244-244-244,white
040-040-040,black
010-010-013,black
165-165-165,grey
143-143-143,grey
255-255-255,white
028-028-028,black
246-246-246,white
030-030-030,black
215-215-215,white
156-156-156,grey
130-130-130,grey
137-054-049,red
174-104-19,yellow
